id	npc_id	npc_level	affiliated_area_id	loc_x	loc_y	loc_z	raid_desc
26	25044	47	97	107792.00000000	27728.00000000	-3488.00000000	u,奉卡勒特將軍之命，正在調查傲慢之塔，是調查隊指揮官的艾爾摩亞丁騎士。和將軍一樣擁有不死之身。是將軍卡勒特的左右手，只要將軍一聲令下，即使是地獄也勇往直前的勇猛騎士。從惡魔拉何那裡得到神祕的力量，並且因拉何的警告，正監視著參與調查隊的提拉克。\0
27	25047	49	97	116352.00000000	27648.00000000	-3319.00000000	u,和惡魔柯爾能簽訂契約，擁有不死之身的艾爾摩亞丁將軍。因他耿直的個性反對建造傲慢之塔，所以僥倖躲過了殷海薩的憤怒。但卻因失去君主和國家的失落感而感到痛苦，他藐視背叛君主而建立新王國的現代人。他的宿願是以一個忠臣的身分，重新拜見皇帝而輔佐他。\0
28	25050	51	97	125520.00000000	27216.00000000	-3632.00000000	u,惡魔柯爾能的心腹，具有強大的力量與巨大的身軀，是個能以力量壓制敵人的戰鬥型惡魔。現在奉柯爾能之命，正在調查傲慢之塔內部的情形。因為是戰鬥型惡魔，所以想法也很單純，他認為若自己的上司柯爾能飛黃騰達，自己的地位也會隨之提升。\0
29	25051	65	97	117760.00000000	-9072.00000000	-3264.00000000	u,死亡之王哈勒特的參謀，美麗與智慧兼備。目前是管理傲慢之塔的上級惡魔「柯爾能」的手下。身為哈勒特心腹與戀人的她，察覺到柯爾能背叛的徵兆後，小心翼翼的監視著柯爾能。\0
30	25054	75	97	113230.00000000	16247.00000000	3960.00000000	u,身為死亡之王哈勒特的手下，正在收集隱藏在傲慢之塔中的祕密。因哈勒特與巴溫戰鬥後耗盡力量，而覬覦死亡之王的地位。為了利用艾爾摩亞丁將軍「卡勒特」，而和他簽訂契約。\0
31	25057	45	121	107056.00000000	168176.00000000	-3456.00000000	u,因太過傑出遭受忌妒而被封印的艾爾摩亞丁天才魔法師「瑟魯頓」的寵物。不愧是瑟魯頓的寵物，具有優異的智能但卻又個性頑劣，率領著一群部下佔據著鄉間小路。\0
32	25060	24	30	-60428.00000000	188264.00000000	-4512.00000000	u,因受到魔法師詛咒而變成魅魔的苦命女子。曾愛上古魯丁瓦爾德世族的王子，但被黑魔法師欺騙而殺人後，受到詛咒變成了魅魔。如今靠著吸取古魯丁旅人的精氣生活。\0
33	25063	35	30	-91024.00000000	116304.00000000	-3466.00000000	u,因勇猛和智慧，而被下級獸人們稱頌為偉大靈魂的土瑞克獸人。隱居在土瑞克獸人兵營的角落，對渴望從他那裡獲得高見的人給予指教。雖然性情溫和，但是如果有人侵略兵營，他會毫不猶豫證明自己的勇猛。\0
34	25064	40	67	96891.00000000	93825.00000000	-3720.00000000	u,具有傑出洞察力與智慧，統治德魯蜥蜴人的蜥蜴人魔法師。據說曾受到哈汀親自指導。一開始曾經考慮過與人類和平共存，但是不管他們再怎麼努力，人類仍然盲目的敵視他們，讓他感到非常憤怒。現在竟然成為將入侵部族領土者格殺勿論的野蠻人。\0
35	25067	52	67	94992.00000000	-23168.00000000	-2176.00000000	u,奧耶豺狼組織裡「紅色旗幟團」的首領，為了佔據山賊城寨而虎視眈眈。以身為奧耶豺狼為榮，雖然聰明、豪邁又勇猛，但是因太年輕所以勢力相對較弱，目前還在努力的培養力量。曾誇口在自己佔據城寨的那日，就會建立豺狼的王國。\0
36	25070	55	97	125600.00000000	50100.00000000	-3600.00000000	u,奉妖精谷女王「提米妮爾」之命，保衛外圍地區的安特提米提藍守護者。憎恨破壞樹林的入侵者，對違反森林法則的人絕不寬恕。利用從提米妮爾女王那裡得到的力量，召喚精靈與獨角獸一起守護妖精谷。\0
37	25073	69	16	143265.00000000	110044.00000000	-3944.00000000	u,地龍安塔瑞斯的創造物。它從創造者那裡接到守護龍穴的任務，並清除騷擾地龍安眠的不速之客。因身體染上了入侵者的血而變成鮮紅色，所以又被稱為血腥祭司 茹德圖。\0
38	25076	25	30	-60976.00000000	127552.00000000	-2960.00000000	u,因邪惡黑魔法師「比傑伊」的詛咒而變為巨大蛤蟆的厄運公主，是統一王拉烏爾的女兒。美貌傳遍全王國的摩拉公主，以及思慕她卻無法擁有她的黑魔法師比傑伊的詛咒，至今還是常被提起的故事。\0
39	25079	30	1	53712.00000000	102656.00000000	-1072.00000000	u,在古魯丁最有名的盜賊隊長。自從他宣稱將偷竊世上最美、永恆不變、最有價值的東西之後，正在努力偷取國色天香的女子─坡西亞的心。具有強烈的浪漫家氣質，個性豪邁。\0
40	25082	39	16	88512.00000000	140576.00000000	-3483.00000000	u,由被主人拋棄的使魔所組成的貓盜賊團頭目。據說他們總是看著從海裡剛抓來的鮮魚而大流口水，所以漁夫和漁商公會祭出巨額的懸賞金。有很多的賞金獵人們出來想抓貓盜賊團，但是因他們可愛而不忍心殺死他們，結果都放棄了懸賞金。\0
41	25085	44	67	66944.00000000	67504.00000000	-3704.00000000	u,泰可獸人搜索隊長，為追查殺死伙伴的逃兵貝克而下山。在同族之間他總是被視為追捕逃犯的無賴與垃圾，但他本人認為自己是為同族貢獻的關鍵人物，並引以為傲。\0
42	25088	43	67	90848.00000000	16368.00000000	-5296.00000000	u,黑色鐵砧公會急切尋找的最新型機械高崙。因參加製作的一名工匠不小心裝入不良的零件，而引發了機械故障失控，將工房的一半摧毀並輾過試圖阻止它的矮人工匠們，竄逃到村莊外。現今正在森林遊蕩，攻擊路過的旅人。\0
43	25089	59	97	165424.00000000	93776.00000000	-2992.00000000	u,因邪惡魔法師的實驗而被奪走靈魂，只剩軀殼而變成殺戮機器的野獸。奪走他靈魂的魔法師最後也被野豬攻擊而死。目前在尋找著能讓自己靈魂安息的強者。\0
44	25092	70	97	114830.00000000	17847.00000000	1944.00000000	u,被驅逐的賽勒諾斯族領導者。是巴溫的狂信者，希望讓巴溫復活之後藉由皇帝的力量，將現在掌握大陸局勢的其他種族趕盡殺絕。他因為激進的主張而被同族驅逐，但並未放棄自己的想法，依然和追隨者們在傲慢之塔附近，計畫使巴溫復活。\0
45	25095	29	30	-37856.00000000	198128.00000000	-2672.00000000	u,喜愛森林、自然和動物的精靈幽靈。因許多戰爭而被摧殘的自然，且看到可愛無辜的動物們因無意義的戰爭而死去，感受到深刻悲傷的他，為動物挺身而出，但卻被殺害而變成了幽靈。他受到愛戴他的大野豬們保護，並警戒著可能會再度侵略的外來者們。\0
46	25098	35	16	123536.00000000	133504.00000000	-3584.00000000	u,為了阻止惡魔巴列斯，而從象牙塔派來的元素使賽查的召喚使魔。賽查為了封印巴列斯而施展了強力的黑魔法，但卻因反噬作用身亡。賽查殘存的召喚使魔中，只有闇影沒有消失，竟被巴列斯和象牙塔的黑魔法污染後與荒原融合在一起。雖覺得主人死的很冤枉，但對其他的魔法師卻表現出很強的敵意。\0
47	25099	44	67	64048.00000000	16048.00000000	-3536.00000000	u,吸收孢子之海的毒而成長的怪植物。跟隨著孢子之海的統治者「奧爾芬」。奧爾芬賦予他屠殺入侵者的任務。有很多為了確認結界是否成功阻止孢子擴張而來到此地的象牙塔的魔法師們，都因而喪命。\0
48	25102	45	97	113840.00000000	84256.00000000	-2480.00000000	u,因象牙塔魔法師們的實驗而犧牲的賽勒諾斯。因實驗而得到超自然的力量，但外表變型再也無法回到同族身邊的夏可蘭，隱居在歐瑞領地山路險峻且人影稀少的南部峽谷中。不喜歡讓別人看到自己的模樣，對於無法回到同族身邊而感到痛苦，憎恨害自己變成如此的象牙塔魔法師們。\0
49	25103	55	97	135872.00000000	94592.00000000	-3735.00000000	u,受到蜥蜴人尊敬的高強咒術士，現在隱居在草原某個角落。從古代存活至今的蜥蜴人，對於自己的領土被人類侵犯而感到憤怒，對於其他種族敵視著嚮往和平的蜥蜴人一事，感到非常討厭。\0
50	25106	60	97	173880.00000000	-11412.00000000	-2880.00000000	u,本來是村莊裡的半獸人巫醫，但目睹艾爾摩侵略軍在井裡下毒，卻因被恐嚇而沒有制止這件事。眼看著村莊的居民一個個的死去，才覺悟自己所犯下的過錯而發瘋。至今還在詛咒的井邊出沒，且將靠近的人全都當成艾摩爾軍人並加以攻擊。\0
51	25109	74	16	152660.00000000	110387.00000000	-5520.00000000	u,供奉安塔瑞斯進貢活人的邪教巫女。親手使用黑魔法之後，得到了強力的魔物軀體，而且利用自己的使魔來攻擊妨礙安塔瑞斯安眠的入侵者。經過長久歲月，因反反覆覆的殺戮生活，現在已成為真正的魔物，喜歡享用流著溫血的人類心臟。\0
52	25112	30	16	116128.00000000	139392.00000000	-3640.00000000	u,來自惡魔島崇拜巴列斯的邪惡異教徒。在古魯丁領地引起恐怖和暴力而造成混亂，並企圖讓背叛與不安逐漸成長，而這種恐怖正是惡魔力量的泉源。最近在古魯丁發生的連續殺人案、強盜、放火等都是梅亞拿的傑作。\0
53	25115	40	121	125789.00000000	207644.00000000	-3752.00000000	u,哈汀的學生中充滿好奇心、喜歡搗蛋的伊克魯斯在實驗過程中做出的生物。目前為了試驗生物體的行動以及反應，伊克魯斯故意將它放走，但它對周圍而言簡直就是個禍害。\0
54	25118	35	1	50896.00000000	146576.00000000	-3645.00000000	u,在農民叛亂期間，負責管理刑場並處死許多無辜農民的死刑執行官。當時受到城主亞席頓公爵的命令，連對來收屍的人們也趕盡殺絕，但在中途卻反被殺害。死亡後因生前所犯下的罪，而受到永遠不得安息的詛咒，在刑場附近陰魂不散。\0
55	25119	50	97	121872.00000000	64032.00000000	-3536.00000000	u,妖精女王提米妮爾為了對付入侵妖精領土的人們，因而派到亞丁的使者。是護衛妖精女王的強悍戰士之一，卓越勇猛而且具有對任何事情都不畏懼的勇氣。\0
56	25122	56	67	86290.00000000	-8232.00000000	-3032.00000000	u,格勒西亞奧耶豺狼的大貴族，在亞丁格勒西亞之戰敗戰後無法回到祖國。戰爭時期率領部隊到克魯瑪高塔探索時於途中失蹤，在偶然的機會下，在塔內收了幾個下巨人為手下。從塔裡辛苦的逃脫後，發現戰爭已經結束，留下的只有幾個部下和他脖子上的巨額懸賞金。現在正為了生存而嘗試逃往艾爾摩王國。\0
57	25125	65	97	170656.00000000	85184.00000000	-2000.00000000	u,統治昂赫瀑布的傳說巨虎。本來在天上是為天使帶路的高貴神獸，但是後來咬死主人後逃到了地上。現在藏身於昂赫瀑布生活。因地位驟降以及對悲慘的狀況感到絕望，漸漸的變得狂暴，常抓路過的旅人與不怕死的冒險家們來吃。\0
58	25126	79	97	114830.00000000	14647.00000000	6992.00000000	u,曾是艾爾摩亞丁皇帝「巴溫」手下的四天王之一，現在是死亡之王哈勒特旗下的強悍巨大牛人。為了實現很久以前所做的約定，被束縛在傲慢之塔上層部等待巴溫復活。與天使的首領「懲罰之火 斯萊爾」的戰鬥難分難解，牽制天使和白金族的勢力。\0
59	25127	24	30	-47552.00000000	219232.00000000	-2413.00000000	u,透過死靈畢佛隆得到強大力量的朗克蜥蜴人女族長。利用死靈與咒術得到強大力量的她，依照畢佛隆的旨意，屠殺行經南部道路的祭司與自稱為神之使徒的人們，最近趁著古魯丁領地的混亂，釋出全力將部族的勢力擴張到北方。\0
60	25128	33	1	17696.00000000	179056.00000000	-3520.00000000	u,領導普庫獸人的大祭司長，比族長德里有更大的權勢，被普庫獸人敬仰有如神一般的存在。充滿遺憾的看著流浪在人類世界遭到歧視的同族，設法想引導部族回到北方「半獸人」的土地。\0
61	25131	50	67	75488.00000000	-9360.00000000	-2720.00000000	u,被稱為「殺戮王」，出身格勒西亞傭兵團的隊長。是血腥君主奴爾卡的強敵同時也是夥伴，得到許多鼠人的信賴。因擅於外交而與大貴族及高級官僚都有交情。就像那些貴族利用豺狼族的他一樣，他也計畫利用他們返回故鄉「格勒西亞」。\0
62	25134	40	67	87536.00000000	75872.00000000	-3591.00000000	u,在過去的數十年間帶領里多蜥蜴人的老族長。雖然年紀很大，但是靠超強體力、靈活機智存活了下來。他領悟到正面攻擊強大的亞丁王國是無法奪回自己的故鄉，因而正在等待試探機會。利用王國正面臨的混亂，想奪回里多蜥蜴人的領土。\0
63	25137	55	16	125280.00000000	102576.00000000	-3305.00000000	u,以力量為條件與惡魔巴列斯簽契約的女人。在巴列斯的指導下，得到了強大的魔法力。尋找在古魯丁南部荒原地下，隱藏在某處的巴列斯遺跡，準備舉行讓巴列斯復活的祕密儀式。\0
65	25143	78	97	116430.00000000	14647.00000000	6992.00000000	u,討伐巴溫而使傲慢之塔倒塌的天使先鋒隊長。以阻擋惡魔進軍傲慢之塔上層而言，他確實功不可沒。至今還領導白金族凱爾豺狼，與圍繞在傲慢之塔封印的惡魔們展開永無止境戰爭。他所揮動的審判之劍是毫無猶豫、無憐憫、無慈悲的，所以被稱為懲罰之火。\0
66	25146	21	30	-13056.00000000	215680.00000000	-3760.00000000	u,古魯丁南部地區，朗克蜥蜴人供奉似神的惡靈。具有蛇的形象，是數百年來統治蜥蜴人精神的惡魔。憎恨自己受到詛咒的軀體以及創造出此身體的神，在地上一看到神的使者就想趕盡殺絕，非常凶暴。帶領朗克蜥蜴人，懷著總有一天將毀壞整個古魯丁的野心。\0
67	25149	25	30	-12656.00000000	138176.00000000	-3584.00000000	u,在格勒西亞戰爭發生之前，統治著現今被稱為「悲哀廢墟」這個和平村莊的騎士。生前被稱為格林戴爾的他，在與格勒西亞軍戰敗後，成為俘虜受到酷刑而死亡。但躲藏在村莊內巴列斯的手下們，卻將他的屍體復活，並讓他的靈魂墮落。過去曾為村民犧牲奉獻的聖潔騎士從此消逝，只留下想把自己的痛苦轉移給其他生物的惡魔，虛無的流浪在悲哀廢墟之中。\0
68	25152	35	1	43872.00000000	123968.00000000	-2928.00000000	u,因半獸人巫醫王賽魯的召喚失誤所召喚出的下級惡魔。被強制召喚因此不知如何回到原本的世界，將自己藏匿起來，攻擊路過的旅行者，並收集靈魂用來培養自己回去的力量。\0
69	25155	40	67	73520.00000000	66912.00000000	-3728.00000000	u,曾統治賽魯半獸人的瘋狂族長。他原本有些魔法實力，但因太過相信自己的能力竟自稱為半獸人巫醫王，做出一些危險的咒術實驗，途中因召喚術失敗而導致心神喪失。背棄部族和故鄉，率領發狂的手下們到處流浪，見到旅行者就加以攻擊殺害。\0
70	25158	48	67	77104.00000000	5408.00000000	-3088.00000000	u,因為無法忍受「人類所無法得知的魔法知識」，竟一個人跑去找地龍安塔瑞斯，想要學習龍族魔法的愚蠢之人。安塔瑞斯因他妨礙自己的睡眠將他變為怪物。因為自己變得很醜陋，所以憎恨一切美麗的事物，雖然他不斷詛咒安塔瑞斯，但是卻因深怕地龍而躲藏起來。\0
71	25159	54	97	124984.00000000	43200.00000000	-3625.00000000	u,自從殷海薩對下巨人的憤怒，因而一舉終結神話時代開始，失去巢穴徬徨的獨角獸。為了尋找失去的故鄉而流浪著。在流浪生活中，成為失去夥伴而孤立的獨角獸首領。到現在依舊迫切尋找自己的夥伴，但與夥伴已分離數百年的時光，在那孤獨下無法適應這人類的世界。\0
73	25163	70	97	130500.00000000	59098.00000000	3584.00000000	u,從古代以來，保衛亞丁領地的守護者，但因一個被金錢矇蔽的獵人，竟失去了最愛的孩子，而化身為復仇惡魔的飛龍。離開原本居住的龍之谷，而來到亞丁城周邊的領地流浪，殺害了很多平民，甚至為了平息他的憤怒而前來的祭司也被殺害，成為亞丁居民的惡夢。最後因國王的命令，過去牠所做的善事都從歷史上被消除，現在只被人稱呼為亞丁的災禍。\0
74	25166	25	30	-21800.00000000	152000.00000000	-2900.00000000	u,邪惡的死靈法師依照自己的意念所做的黑暗創造物。據說他和月亮有密切的關係，象牙塔魔法師們為了掌握真相，好幾次派遣調查團前往調查，但是都屈服於伊昆帝的邪惡力量之下，墮落之後放棄了調查任務。\0
75	25169	30	30	-54464.00000000	170288.00000000	-3136.00000000	u,在戰爭途中失蹤的血腥君主奴爾卡的心腹，是身經百戰的老將。身為自尊心很強的奧耶豺狼，看不起下等豺狼族甚至還迫害下等豺狼。就因為這個缺點，他雖然有優異的戰果，卻不像奴爾卡一樣受到尊敬。根據傳聞，他和奴爾卡一起計畫著其他陰謀，但是沒有人知道詳情。\0
76	25170	38	1	26064.00000000	121808.00000000	-3738.00000000	u,為了解開克魯瑪高塔的祕密而徘徊的蜥蜴人傭兵隊長。聽到路過的吟遊詩人所唱，有關克魯瑪高塔七個祕密的歌曲，抱持著得到其中第三個祕密「古代兵器」，妄想成為王之騎士的野心。因象牙塔的守門人說無法讓蜥蜴人一族進入塔內而拒絕為他傳送，所以至今他尚未能進入塔內，只能在塔的周圍徘徊。\0
77	25173	45	16	75968.00000000	110784.00000000	-2512.00000000	u,勇敢又偉大的獸王。雖然有著野獸的外表，但因具有無法輕忽的神聖與勇猛，得以將賽勒諾斯收服為自己的手下。本來是席琳創造的魔物之一，但是隨著時間的流逝逐漸累積智慧，不再憎恨諸神，而想以獸王的身份努力充實自己。特別在賽勒諾斯一族中，挑選咒術士做為自己的手下。\0
78	25176	55	16	92544.00000000	115232.00000000	-3200.00000000	u,受寵於安塔瑞斯而得到地龍之力的夢魔。雖然不清楚她何以如此受寵於安塔瑞斯，但她的確具有將來訪龍之谷的冒險家們引入死亡的致命魅力。\0
79	25179	60	97	167152.00000000	53120.00000000	-4148.00000000	u,克拉奇的另一個部下。與克拉奇相同，負責保護巨人神像，但卻不認為那是神聖的任務。據消息指出，他相信巨人神像能將不完整的巨人身體復原的傳說，而且聽說他得到克拉奇的信任而保護巨人神像的原因，是因為他心懷著得到完整軀體與力量的野心。\0
80	25182	59	16	41966.00000000	215417.00000000	-3728.00000000	u,住在惡魔島的惡魔巴列斯部下。巴列斯隱匿後，他也停止活動，進入一段很長的休眠期。海盜們佔領惡魔島後四處喧鬧，使得他從夢中醒來。後悔沒有在札肯成為不死身前將惡魔島上的海盜殺光。等待著他的主人巴列斯再次出現下達命令。\0
81	25185	35	121	99732.00000000	204331.00000000	-3784.00000000	u,住在因納得立平原的蜥蜴人隊長。供奉水龍法利昂的塔沙巴蜥蜴人，聽從水龍的命令，居住在平原守護著神聖的水之地。感嘆這世界已經成為人類的天下，不斷思念著過去。每當月圓的時候，會向水龍獻上神聖的祭禮。\0
82	25188	30	121	127076.00000000	214973.00000000	-3100.00000000	u,在席琳的痛苦下誕生的魔物之一，是住在因納得立領地的怪獸。聲稱代替席琳的水之神「伊娃」是假的，直到現在還深信席琳才是真正的水之神。偷偷進入傳遍伊娃信仰的因納得立，讓信仰水之女神的信徒感到混淆，並威脅伊娃的信徒們。\0
83	25189	34	121	127837.00000000	200661.00000000	-3792.00000000	u,住在獵人村莊「賢者克洛諾斯」的使魔。 為了尋找製造快樂靈藥的材料，而被克洛諾斯派來因納得立。高興的環遊世界而忘了自己為什麼來到這裡的穆木，因為害怕被克洛諾斯斥罵而不敢回去。\0
84	25192	43	121	125920.00000000	190208.00000000	-3291.00000000	u,自古以來守護因納得立領地的可羅津。在人類和精靈來到因納得立以前，就早已居住於此的原住民，他相信因納得立領地擁有與其他地方不同的神聖力量。看著遽增的人類，他決心要守護這片祖先所留下的土地。\0
85	25198	70	121	102656.00000000	157424.00000000	-3735.00000000	u,繼承水龍法利昂之血的飛龍，是傳達法利昂旨意的使者。有時向蜥蜴人和可羅津傳達法利昂的話語，不過法利昂對這兩個懦弱的種族不感興趣，所以實際上洛克尼斯會直接統治他們。特別輕視比自己弱的生命。\0
86	25199	72	121	108096.00000000	157408.00000000	-3688.00000000	u,皮魯德蜥蜴人的大祭司長，是法利昂的狂信者。是個強大的咒術士，相信總有一天水龍法利昂會帶給蜥蜴人榮耀的日子，不過實際上法利昂對此一點興趣也沒有。\0
87	25202	74	121	119760.00000000	157392.00000000	-3744.00000000	u,住在鱷魚島，以及所有因納得利領土的可羅津之王。自稱為帕迪夏，且率領直屬的高級保鏢。因跟隨水龍的可羅津們很多所以感到不滿，但是不敢向法利昂挑戰。\0
88	25205	76	121	123808.00000000	153408.00000000	-3671.00000000	u,為了監視水龍法利昂的舉動，而降臨的殷海薩使者。在天上的戰爭中因為法利昂失去了很多夥伴，所以在憎恨法利昂。但被神下令禁止攻擊法利昂，因而無法直接行動。\0
89	25208	40	121	109801.00000000	213314.00000000	-3924.00000000	u,在女神席琳的絕望、憤怒、詛咒下所誕生的魔物。在神話時代站在女神席琳這一邊，參與諸神間的戰鬥，但因戰鬥中受了重傷，而在水龍法利昂的保護下隱居起來。最近為了繁殖才露面。是法利昂的手下，並等待著席琳與魔物們重新統治世界的那天到來。\0
90	25211	36	121	113456.00000000	198118.00000000	-3689.00000000	u,統治鱷魚島的可羅津族長。在人類和精靈來到因納得立以前，就住在這裡的原住民，他為了保護領土與同族而憎恨著外來者。雖然他也不喜歡和飛蛇一族的「阿特卡」一同居住，但是因為害怕水龍法利昂，所以無法採取任何行動。深信總有一天可以藉著自己的力量，使可羅津再度統治因納得立。\0
91	25214	40	121	111582.00000000	209341.00000000	-3687.00000000	u,水龍法利昂的部下，在太初的諸神之戰被稱為颱風席卡，是個擊敗很多神之使徒的魔物。他是卓越的戰士，同時也是一個很風趣的人。現在受法利昂的命令，環遊世界並傳頌他的故事。\0
92	25217	50	16	89904.00000000	105712.00000000	-3292.00000000	u,自出生就擁有美貌的富貴千金，但由於她太過驕傲，引起了殷海薩的憤怒而被變為梅杜莎。她無法正視自己醜陋的外貌與失落的過去，於是遷怒於周圍的人，成為了一個殘暴的怪獸。對她念念不忘的未婚夫前來找她，卻被她石化後弄得粉碎，現在的她早已不是從前那美麗的女孩，只不過是一隻恐怖的怪獸罷了。\0
93	25220	73	97	116430.00000000	16247.00000000	-2120.00000000	u,為了佔領傲慢之塔而努力的惡魔首領。為了得到藏在傲慢之塔內的祕密知識，進一步想把它做為擴張惡魔勢力的跳板，虎視眈眈的尋找攻擊傲慢之塔的機會。因為解除傲慢之塔的封印而消耗太多力量，現在只殘餘些許的力量。由於殷海薩命令天使與白金族守護傲慢之塔，因此哈勒特與神的軍隊處於敵對的形勢。率領著三個忠實的部下「柯爾能、拉何、拜勒法」。\0
94	25223	35	1	43152.00000000	152352.00000000	-2848.00000000	u,狄恩農民叛亂時領主所雇用的傭兵，但陷入了圈套，以為將靈魂收集後獻給席琳就能在死後得到永生，因而殺害了無數的無辜農民。甚至於連領主亞席頓公爵對他的暴行都感到厭惡，而把他逮捕起來並將處死。雖然他死了，但想獲得永生的怨念卻留了下來，復活成為不死生物。現在經常於狄恩城附近遊蕩，屠殺善良無辜的老百姓。\0
95	25226	62	67	104240.00000000	-3664.00000000	-3392.00000000	u,曾經是坐擁山賊城寨的奧耶豺狼君主。對於一連串的鬥爭感到厭惡，現在帶領旗下的祭司長和軍長來到城寨外面，觀望城寨的爭奪戰。\0
